time=36700, port=1, receive=1

time=36710, port=1, receive=1

time=36720, port=1, receive=1

time=36730, port=1, receive=1

time=36740, port=1, receive=1

time=36750, port=1, receive=1

time=36760, port=1, receive=1

time=36770, port=1, receive=1

time=36780, port=1, receive=1

time=36790, port=1, receive=1

time=36800, port=1, receive=1

time=36810, port=1, receive=1

time=36820, port=1, receive=1

time=36830, port=1, receive=1

time=36840, port=1, receive=1

time=36850, port=1, receive=1

time=36860, port=1, receive=0

time=36870, port=1, receive=0

time=36880, port=1, receive=0

time=36890, port=1, receive=1

time=36900, port=1, receive=0

time=36910, port=1, receive=0

time=36920, port=1, receive=0

time=36930, port=1, receive=1

time=36940, port=1, receive=0

time=36950, port=1, receive=0

time=36960, port=1, receive=1

time=36970, port=1, receive=0

time=36980, port=1, receive=0

time=36990, port=1, receive=0

time=37000, port=1, receive=1

time=37010, port=1, receive=0

time=37020, port=1, receive=0

time=37030, port=1, receive=0

time=37040, port=1, receive=0

time=37050, port=1, receive=0

time=37060, port=1, receive=1

time=37070, port=1, receive=0

time=37080, port=1, receive=0

time=37090, port=1, receive=0

time=37100, port=1, receive=0

time=37110, port=1, receive=0

time=37120, port=1, receive=0

time=37130, port=1, receive=0

time=37140, port=1, receive=0

time=37150, port=1, receive=0

time=37160, port=1, receive=1

time=37170, port=1, receive=0

time=37180, port=1, receive=0

time=37190, port=1, receive=0

time=37200, port=1, receive=0

time=37210, port=1, receive=0

time=37220, port=1, receive=1

time=37230, port=1, receive=0

time=37240, port=1, receive=1

time=37250, port=1, receive=0

time=37260, port=1, receive=0

time=37270, port=1, receive=0

time=37280, port=1, receive=0

time=37290, port=1, receive=1

time=37300, port=1, receive=1

time=37310, port=1, receive=0

time=37320, port=1, receive=1

time=37330, port=1, receive=1

time=37340, port=1, receive=0

time=37350, port=1, receive=0

time=37360, port=1, receive=0

time=37370, port=1, receive=1

time=37380, port=1, receive=1

time=37390, port=1, receive=0

time=37400, port=1, receive=0

time=37410, port=1, receive=1

time=37420, port=1, receive=0

time=37430, port=1, receive=0

time=37440, port=1, receive=0

time=37450, port=1, receive=1

time=37460, port=1, receive=1

time=37470, port=1, receive=0

time=37480, port=1, receive=1

time=37490, port=1, receive=0

time=37500, port=1, receive=0

time=37510, port=1, receive=0

time=37520, port=1, receive=0

time=37530, port=1, receive=0

time=37540, port=1, receive=1

time=37550, port=1, receive=0

time=37560, port=1, receive=1

time=37570, port=1, receive=0

time=37580, port=1, receive=0

time=37590, port=1, receive=0

time=37600, port=1, receive=0

time=37610, port=1, receive=0

time=37620, port=1, receive=0

time=37630, port=1, receive=1

time=37640, port=1, receive=1

time=37650, port=1, receive=0

time=37660, port=1, receive=1

time=37670, port=1, receive=0

time=37680, port=1, receive=0

time=37690, port=1, receive=0

time=37700, port=1, receive=1

time=37710, port=1, receive=1

time=37720, port=1, receive=0

time=37730, port=1, receive=0

time=37740, port=1, receive=0

time=37750, port=1, receive=0

time=37760, port=1, receive=0

time=37770, port=1, receive=0

time=37780, port=1, receive=1

time=37790, port=1, receive=0

time=37800, port=1, receive=1

time=37810, port=1, receive=0

time=37820, port=1, receive=1

time=37830, port=1, receive=1

time=37840, port=1, receive=0

time=37850, port=1, receive=1

time=37860, port=1, receive=1

time=37870, port=1, receive=0

time=37880, port=1, receive=0

time=37890, port=1, receive=0

time=37900, port=1, receive=0

time=37910, port=1, receive=0

time=37920, port=1, receive=0

time=37930, port=1, receive=0

time=37940, port=1, receive=1

time=37950, port=1, receive=1

time=37960, port=1, receive=1

time=37970, port=1, receive=0

time=37980, port=1, receive=null, cause=data_ended

time=41200, port=1, send=1, transmission=successfully

time=41210, port=1, send=1, transmission=successfully

time=41220, port=1, send=1, transmission=successfully

time=41230, port=1, send=1, transmission=successfully

time=41240, port=1, send=1, transmission=successfully

time=41250, port=1, send=1, transmission=successfully

time=41260, port=1, send=1, transmission=successfully

time=41270, port=1, send=1, transmission=successfully

time=41280, port=1, send=1, transmission=successfully

time=41290, port=1, send=1, transmission=successfully

time=41300, port=1, send=1, transmission=successfully

time=41310, port=1, send=1, transmission=successfully

time=41320, port=1, send=1, transmission=successfully

time=41330, port=1, send=1, transmission=successfully

time=41340, port=1, send=1, transmission=successfully

time=41350, port=1, send=1, transmission=successfully

time=41360, port=1, send=1, transmission=successfully

time=41370, port=1, send=1, transmission=successfully

time=41380, port=1, send=0, transmission=successfully

time=41390, port=1, send=0, transmission=successfully

time=41400, port=1, send=1, transmission=successfully

time=41410, port=1, send=1, transmission=successfully

time=41420, port=1, send=0, transmission=successfully

time=41430, port=1, send=0, transmission=successfully

time=41440, port=1, send=0, transmission=successfully

time=41450, port=1, send=0, transmission=successfully

time=41460, port=1, send=0, transmission=successfully

time=41470, port=1, send=0, transmission=successfully

time=41480, port=1, send=0, transmission=successfully

time=41490, port=1, send=0, transmission=successfully

time=41500, port=1, send=1, transmission=successfully

time=41510, port=1, send=0, transmission=successfully

time=41520, port=1, send=0, transmission=successfully

time=41530, port=1, send=0, transmission=successfully

time=41540, port=1, send=0, transmission=successfully

time=41550, port=1, send=0, transmission=successfully

time=41560, port=1, send=1, transmission=successfully

time=41570, port=1, send=0, transmission=successfully

time=41580, port=1, send=0, transmission=successfully

time=41590, port=1, send=0, transmission=successfully

time=41600, port=1, send=0, transmission=successfully

